save_name,avg_recall,search_duration,total_duration
gpu_bloom_pq-k100-query56,0.048393,6110,6553
gpu_bloom_smmh-k100-query56,0.020893,4857,5827
cpu-k100-query57,0.047895,129005,0
gpu_non_opt-k100-query57,0.001579,7270,7906
gpu_shared_mem-k100-query57,0.001404,6136,6720
gpu_eucdist_opt-k100-query57,0.001579,3929,4421
gpu_bloom_pq-k100-query57,0.047895,7317,7825
gpu_bloom_smmh-k100-query57,0.018772,4967,6037
cpu-k100-query58,0.047414,129426,0
gpu_non_opt-k100-query58,0.000862,7865,8489
gpu_shared_mem-k100-query58,0.000862,5750,6248
gpu_eucdist_opt-k100-query58,0.000862,3425,3910
gpu_bloom_pq-k100-query58,0.047414,6317,6748
gpu_bloom_smmh-k100-query58,0.016207,4718,5671
cpu-k100-query59,0.046949,129278,0
gpu_non_opt-k100-query59,0.000847,7056,7600
gpu_shared_mem-k100-query59,0.000847,6051,6593
gpu_eucdist_opt-k100-query59,0.000847,3323,3774
gpu_bloom_pq-k100-query59,0.046102,5912,6446
gpu_bloom_smmh-k100-query59,0.021695,4315,5246
cpu-k100-query60,0.046500,129773,0
gpu_non_opt-k100-query60,0.000833,7098,7718
gpu_shared_mem-k100-query60,0.000833,5896,6372
gpu_eucdist_opt-k100-query60,0.000833,3362,3781
gpu_bloom_pq-k100-query60,0.046500,5422,5881
gpu_bloom_smmh-k100-query60,0.018333,4397,5394
cpu-k100-query61,0.045738,132295,0
gpu_non_opt-k100-query61,0.000492,7065,7631
gpu_shared_mem-k100-query61,0.000492,5412,5879
gpu_eucdist_opt-k100-query61,0.000492,3223,3636
gpu_bloom_pq-k100-query61,0.045738,5633,6078
gpu_bloom_smmh-k100-query61,0.014426,4048,5016
cpu-k100-query62,0.045806,132900,0
gpu_non_opt-k100-query62,0.000968,7328,7915
gpu_shared_mem-k100-query62,0.000968,5350,5807
gpu_eucdist_opt-k100-query62,0.000968,3575,4069
gpu_bloom_pq-k100-query62,0.045806,5890,6332
gpu_bloom_smmh-k100-query62,0.021452,4448,5416
cpu-k100-query63,0.045556,134689,0
gpu_non_opt-k100-query63,0.001429,6519,7057
gpu_shared_mem-k100-query63,0.001587,5566,6024
gpu_eucdist_opt-k100-query63,0.001270,3669,4122
gpu_bloom_pq-k100-query63,0.045556,5574,5995
gpu_bloom_smmh-k100-query63,0.013810,4187,5146
cpu-k100-query64,0.045781,137533,0
gpu_non_opt-k100-query64,0.001562,6920,7564
gpu_shared_mem-k100-query64,0.001562,5574,6052
gpu_eucdist_opt-k100-query64,0.001406,4043,4526
gpu_bloom_pq-k100-query64,0.045781,5957,6460
gpu_bloom_smmh-k100-query64,0.016719,4309,5319
cpu-k100-query65,0.046000,144247,0
gpu_non_opt-k100-query65,0.001846,7269,7967
gpu_shared_mem-k100-query65,0.001846,5705,6190
gpu_eucdist_opt-k100-query65,0.001692,3533,4023
gpu_bloom_pq-k100-query65,0.046000,6399,6854
gpu_bloom_smmh-k100-query65,0.017077,4220,5260
cpu-k100-query66,0.045909,147652,0
gpu_non_opt-k100-query66,0.001667,7834,8507
gpu_shared_mem-k100-query66,0.001515,6766,7409
gpu_eucdist_opt-k100-query66,0.001364,4639,5293
gpu_bloom_pq-k100-query66,0.045909,6436,6949
